Prometheus metrics server on :9090
No cached path provided
Applying current job
Job has started, connecting to current state
Monarch internal logs are being written to /tmp/root/monarch_log.log; execution id root_Apr-09_04:12_74
Setting up torch elastic env on learner mesh...
Spawning actors...
All actors spawned, initializing learner FSDP...

Generating train split:   0%|          | 0/7473 [00:00<?, ? examples/s]
Generating train split: 100%|██████████| 7473/7473 [00:00<00:00, 212706.70 examples/s]

Generating test split:   0%|          | 0/1319 [00:00<?, ? examples/s]
Generating test split: 100%|██████████| 1319/1319 [00:00<00:00, 197110.02 examples/s]
  Learner: ({'hosts': 0/1, 'gpus': 0/8}, 'rank 0/8 initialized on cuda:0')
  Learner: ({'hosts': 0/1, 'gpus': 1/8}, 'rank 1/8 initialized on cuda:1')
  Learner: ({'hosts': 0/1, 'gpus': 2/8}, 'rank 2/8 initialized on cuda:2')
  Learner: ({'hosts': 0/1, 'gpus': 3/8}, 'rank 3/8 initialized on cuda:3')
  Learner: ({'hosts': 0/1, 'gpus': 4/8}, 'rank 4/8 initialized on cuda:4')
  Learner: ({'hosts': 0/1, 'gpus': 5/8}, 'rank 5/8 initialized on cuda:5')
  Learner: ({'hosts': 0/1, 'gpus': 6/8}, 'rank 6/8 initialized on cuda:6')
  Learner: ({'hosts': 0/1, 'gpus': 7/8}, 'rank 7/8 initialized on cuda:7')
Training: 7473 problems, 32 prompts/step, 233 steps/epoch, 233 total steps
step:0 | policy_loss=-0.0005 | kl_divergence=0.0006 | mean_reward=0.1406 | clip_fraction=0.0064 | grad_norm=90.7500 | step_time_seconds=56.3444 | throughput_samples_per_sec=4.5435 | epoch=0
step:1 | policy_loss=0.0012 | kl_divergence=0.0032 | mean_reward=0.1172 | clip_fraction=0.0283 | grad_norm=15.5977 | step_time_seconds=56.9051 | throughput_samples_per_sec=4.4987 | epoch=0
step:2 | policy_loss=0.0003 | kl_divergence=0.0054 | mean_reward=0.2656 | clip_fraction=0.0121 | grad_norm=9.1289 | step_time_seconds=84.4233 | throughput_samples_per_sec=3.0323 | epoch=0
step:3 | policy_loss=0.0009 | kl_divergence=0.0035 | mean_reward=0.2891 | clip_fraction=0.0047 | grad_norm=2882.1406 | step_time_seconds=83.3454 | throughput_samples_per_sec=3.0716 | epoch=0
step:4 | policy_loss=-0.0010 | kl_divergence=0.0079 | mean_reward=0.2461 | clip_fraction=0.0044 | grad_norm=1.0859 | step_time_seconds=83.6554 | throughput_samples_per_sec=3.0602 | epoch=0
step:5 | policy_loss=0.0004 | kl_divergence=0.0184 | mean_reward=0.2539 | clip_fraction=0.0061 | grad_norm=1.3047 | step_time_seconds=83.8178 | throughput_samples_per_sec=3.0542 | epoch=0
step:6 | policy_loss=0.3427 | kl_divergence=0.1103 | mean_reward=0.3789 | clip_fraction=0.0239 | grad_norm=17.6094 | step_time_seconds=83.4825 | throughput_samples_per_sec=3.0665 | epoch=0
step:7 | policy_loss=57.2372 | kl_divergence=0.0293 | mean_reward=0.4062 | clip_fraction=0.0162 | grad_norm=461.0000 | step_time_seconds=85.4361 | throughput_samples_per_sec=2.9964 | epoch=0
step:8 | policy_loss=0.0005 | kl_divergence=0.0276 | mean_reward=0.4414 | clip_fraction=0.0024 | grad_norm=1.3320 | step_time_seconds=83.2006 | throughput_samples_per_sec=3.0769 | epoch=0
step:9 | policy_loss=0.4690 | kl_divergence=0.1073 | mean_reward=0.4141 | clip_fraction=0.0166 | grad_norm=69.2656 | step_time_seconds=84.2420 | throughput_samples_per_sec=3.0389 | epoch=0
step:10 | policy_loss=0.0033 | kl_divergence=0.0500 | mean_reward=0.4023 | clip_fraction=0.0299 | grad_norm=42.9844 | step_time_seconds=85.4798 | throughput_samples_per_sec=2.9949 | epoch=0
step:11 | policy_loss=0.0005 | kl_divergence=0.0461 | mean_reward=0.4375 | clip_fraction=0.0035 | grad_norm=1.4805 | step_time_seconds=82.8738 | throughput_samples_per_sec=3.0890 | epoch=0
